audio_file|text|speaker_name
wavs/lula2_00000000.wav|minhas amigas e meus amigos, acabamos de completar um ano e meio de governo, graças a deus e a confiança do povo, que nos ajudou a derrotar a tentativa de golpe de oito de janeiro.|lula
wavs/lula2_00000001.wav|a democracia venceu.|lula
wavs/lula2_00000002.wav|é hora de prestar contas a cada família brasileira.|lula
wavs/lula2_00000003.wav|quando terminei o segundo mandato, há catorze anos, a economia crescia sete vírgula cinco por cento .|lula
wavs/lula2_00000004.wav|a geração de empregos, o salário e a renda das famílias aumentavam e a inflação caía.|lula
wavs/lula2_00000005.wav|tiramos o brasil do mapa da fome.|lula
wavs/lula2_00000006.wav|de lá para cá assistimos a uma enorme destruição do nosso país.|lula
wavs/lula2_00000007.wav|programas importantes para o povo, como a farmácia popular e o minha casa minha vida foram abandonados.|lula
wavs/lula2_00000008.wav|cortaram os recursos da educação, do sus e do meio ambiente.|lula
wavs/lula2_00000009.wav|espalharam armas ao invés de empregos.|lula
wavs/lula2_00000010.wav|trouxeram a fome de volta.|lula
wavs/lula2_00000012.wav|a inflação disparou e atingiu oito vírgula dois cinco por cento .|lula
wavs/lula2_00000013.wav|o brasil era um país em ruínas.|lula
wavs/lula2_00000014.wav|diziam defender a família, mas deixaram milhões de famílias endividadas, empobrecidas e desprotegidas.|lula
wavs/lula2_00000015.wav|mas é sobre reconstrução e futuro que eu quero falar.|lula
wavs/lula2_00000016.wav|antes mesmo de começarmos a governar, tivemos que buscar os recursos para cumprir o rombo bilionário deixado pelo governo anterior.|lula
wavs/lula2_00000017.wav|apostavam que o crescimento do pib não passaria de zero vírgula oito por cento , mas crescemos quase três por cento no ano passado e vamos continuar crescendo.|lula
wavs/lula2_00000018.wav|o salário mínimo voltou a ter aumento acima da inflação.|lula
wavs/lula2_00000019.wav|e quase noventa por cento das categorias profissionais tiveram aumento real de salário.|lula
wavs/lula2_00000020.wav|aprovamos a igualdade salarial entre mulheres e homens.|lula
wavs/lula2_00000021.wav|mais de dois vírgula sete milhões de empregos formais foram criados e a taxa de desemprego é a menor dos últimos dez anos.|lula
wavs/lula2_00000022.wav|inventamos o imposto de renda que ganha até dois salários mínimos.|lula
wavs/lula2_00000023.wav|vinte e quatro milhões de pessoas ficaram livres do pesadelo da fome.|lula
wavs/lula2_00000024.wav|reforçamos o sus.|lula
wavs/lula2_00000025.wav|a farmácia popular está de volta e agora com novos remédios de graça.|lula
wavs/lula2_00000026.wav|o mais médicos praticamente dobrou, com vinte e cinco mil médicos atendendo em todo o país.|lula
wavs/lula2_00000027.wav|aumentamos o número de vagas nas creches, ampliamos os recursos para as universidades e estamos abrindo cem novos institutos federais.|lula
wavs/lula2_00000028.wav|lançamos o pé de meia, uma poupança para dar às famílias a certeza de que seus filhos não serão obrigados a abandonar a escola para trabalhar.|lula
wavs/lula2_00000029.wav|já garantimos um milhão de novas vagas no ensino em tempo integral, para dar aos pais e às mães a tranquilidade de saber que seus filhos passam o dia em segurança na escola.|lula
wavs/lula2_00000030.wav|a proteção do meio ambiente voltou a ser prioridade e reduzimos em cinquenta e dois por cento o desmatamento da amazônia.|lula
wavs/lula2_00000031.wav|resgatamos as políticas de proteção dos direitos das mulheres, do povo negro, dos indígenas, das pessoas com deficiência e lgbtqia+.|lula
wavs/lula2_00000032.wav|o brasil se reencontrou com a civilização.|lula
wavs/lula2_00000033.wav|minhas amigas e meus amigos, lançamos o maior plano safra da história para financiar a agricultura brasileira.|lula
wavs/lula2_00000034.wav|o novo pac está destinando grandes investimentos para a obra de infraestrutura, ferrovias, rodovias, energia, drenagem e previsão de riscos, mais policlínicas, creches e escolas.|lula
wavs/lula2_00000035.wav|a pentobras está produzindo mais e importando menos.|lula
wavs/lula2_00000036.wav|combatemos o crime organizado com a pressão recta de armas, drogas, dinheiro e equipamento de garimpo ilegal.|lula
wavs/lula2_00000037.wav|minhas amigas e meus amigos, queremos um brasil que cresça para todas as famílias brasileiras.|lula
wavs/lula2_00000038.wav|não abrirei mão da responsabilidade fiscal.|lula
wavs/lula2_00000039.wav|entre as muitas lições de vida que retribuí de minha mãe, dona lidu, aprendi a não gastar mais do que ganho.|lula
wavs/lula2_00000040.wav|é essa responsabilidade que está nos permitindo ajudar a população do rio grande do sul com recursos federais.|lula
wavs/lula2_00000042.wav|depois de anos de estagnação, a indústria brasileira está voltando a ser o motor do desenvolvimento.|lula
wavs/lula2_00000043.wav|com um investimento recto na indústria automobilística, de fideurgia, de alimentos e celulose.|lula
wavs/lula2_00000045.wav|já temos uma das matrizes de energia mais limpas do mundo.|lula
wavs/lula2_00000046.wav|demos início à transmissão energética, ampliando os investimentos em miocombustíveis, hidrogênio verde e geração de energia solar e eólica de biomassa.|lula
wavs/lula2_00000047.wav|seremos uma potência mundial em geração de energia renovável e no enfrentamento à crise climática.|lula
wavs/lula2_00000048.wav|abrimos cento e sessenta e três novos mercados internacionais para nossos produtos.|lula
wavs/lula2_00000049.wav|nossas exportações bateram recordes.|lula
wavs/lula2_00000050.wav|o brasil recuperou seu protagonismo no cenário mundial.|lula
wavs/lula2_00000051.wav|participamos de todos os principais foros internacionais.|lula
wavs/lula2_00000052.wav|o brasil voltou ao mundo e o mundo agora vai passar pelo brasil.|lula
wavs/lula2_00000053.wav|em novembro, vamos ceder a reunião da cupra do gvinte, o grupo das economias mais importantes do mundo.|lula
wavs/lula2_00000055.wav|não podemos nos calar diante de um drama que afeta a vida de setecentos e trinta e três milhões de homens, mulheres e crianças em todo o mundo.|lula
wavs/lula2_00000058.wav|chegou a hora de trazer o debate sobre o futuro do planeta para o coração da amazônia.|lula
wavs/lula2_00000059.wav|este é o resultado de uma diplomacia ativa e altiva.|lula
wavs/lula2_00000060.wav|o mundo voltou a acreditar no brasil, na capacidade do nosso povo e em nosso compromisso com a democracia.|lula
wavs/lula2_00000061.wav|minhas amigas e meus amigos, toda mãe e todo pai sabem a dificuldade que é cuidar de uma família.|lula
wavs/lula2_00000062.wav|garantir que os filhos tenham uma boa alimentação, saúde, educação, segurança e um futuro melhor.|lula
wavs/lula2_00000063.wav|para mim, governar é cuidar de milhões de famílias.|lula
wavs/lula2_00000064.wav|é o que venho fazendo desde o início do meu governo.|lula
wavs/lula2_00000065.wav|hoje, o que falta ao mundo é paz, solidariedade e humanismo.|lula
wavs/lula2_00000066.wav|estamos prontos para dar o exemplo de que aqui no brasil, a inclusão social, a fraternidade, o respeito e o amor são capazes de vencer o ódio.|lula
wavs/lula2_00000067.wav|boa sorte ao brasil e ao povo brasileiro.|lula
wavs/lula2_00000068.wav|muito obrigado.|lula
wavs/lula3_00000000.wav|meus amigos e minhas amigas, amanhã, primeiro de maio, é dia de homenagear o povo trabalhador do brasil.|lula
wavs/lula3_00000001.wav|vocês que trabalham nas fábricas, na construção civil, nos bancos, nas lojas ou nos escritórios.|lula
wavs/lula3_00000002.wav|vocês trabalhadores de aplicativo, vocês microempreendedores, vocês que trabalham na lavoura, nas escolas, nos hospitais.|lula
wavs/lula3_00000003.wav|vocês jovens que estão dando os primeiros passos no mundo do trabalho.|lula
wavs/lula3_00000005.wav|não importa a profissão ou o local de trabalho, o importante é que vocês são os responsáveis pela geração da riqueza do brasil.|lula
wavs/lula3_00000006.wav|vocês se lembram das conquistas que tiveram quando governamos o brasil.|lula
wavs/lula3_00000008.wav|tudo piorou nos últimos anos.|lula
wavs/lula3_00000009.wav|o emprego sumiu, os salários perderam o poder de compra, a inflação subiu, os juros dispararam.|lula
wavs/lula3_00000010.wav|direitos conquistados ao longo de décadas foram destruídos de um dia para o outro.|lula
wavs/lula3_00000012.wav|felizmente, esse mau tempo ficou no passado.|lula
wavs/lula3_00000013.wav|o brasil voltou a reconhecer o papel fundamental do povo trabalhador na construção do futuro do brasil.|lula
wavs/lula3_00000014.wav|desde o primeiro dia desse terceiro mandato que vocês me concederam, tenho trabalhado para consertar e reconstruir nosso país.|lula
wavs/lula3_00000015.wav|recompor as conquistas perdidas pelos trabalhadores e trabalhadoras é prioridade do nosso governo.|lula
wavs/lula3_00000017.wav|a partir da manhã, o salário mínimo passa a valer r dólar mil trezentos e vinte para trabalhadores ativa e aposentados e pensionistas.|lula
wavs/lula3_00000018.wav|é um aumento pequeno, mas real, acima da inflação, pela primeira vez depois de seis anos.|lula
wavs/lula3_00000020.wav|estejam certos de que até o fim do meu mandato, ele voltará a ser um grande instrumento de transformação social que foi no passado quando cresceu setenta e quatro por cento acima da inflação.|lula
wavs/lula3_00000021.wav|foi graças a isso que milhões de brasileiros e brasileiras saíram da extrema pobreza e abriram caminho para uma vida melhor.|lula
wavs/lula3_00000022.wav|é preciso lembrar que a valorização do salário mínimo não é essencial apenas para quem ganha o salário mínimo.|lula
wavs/lula3_00000023.wav|com mais dinheiro em circulação, as vendas do comércio aumentam, a indústria produz mais, a roda da economia volta a girar e novos empregos são criados.|lula
wavs/lula3_00000026.wav|a partir de agora, o valor até r dólar dois mil seiscentos e quarenta por mês não pagará mais nenhum centavo de imposto de renda.|lula
wavs/lula3_00000027.wav|e até o final do meu mandato, a isenção valerá para até r dólar cinco mil por mês.|lula
wavs/lula3_00000028.wav|meus amigos e minhas amigas, não haverá reconstrução do brasil sem a valorização dos trabalhadores e das trabalhadoras.|lula
wavs/lula3_00000029.wav|o brasil vai voltar a crescer com inclusão social e novos empregos serão criados.|lula
wavs/lula3_00000031.wav|e o primeiro de maio, que sempre foi um dia de luta, voltará a ser também um dia de conquista para o povo trabalhador.|lula
wavs/lula3_00000032.wav|muito obrigado e primeiro de maio.|lula
wavs/lula4_00000000.wav|minhas amigas e meus amigos, amanhã é dia de comemorar a independência do brasil.|lula
wavs/lula4_00000001.wav|o brasil voltou a sorrir.|lula
wavs/lula4_00000002.wav|nosso país voltou a crescer com inclusão social, distribuindo renda e combatendo as desigualdades.|lula
wavs/lula4_00000003.wav|no passado, quando o brasil crescia, quem ganhava era apenas uma minoria já muito rica.|lula
wavs/lula4_00000005.wav|o pib, que é a soma de toda a riqueza que o país produz, está crescendo.|lula
wavs/lula4_00000006.wav|e não crescia tanto assim desde dois mil e dez.|lula
wavs/lula4_00000007.wav|a melhora do cenário econômico se traduz em mais ofertas de empregos e melhores salários para todas as profissões e classes sociais.|lula
wavs/lula4_00000008.wav|no primeiro semestre deste ano, foram criados mais de um milhão de novos postos de trabalho com carteira assinada.|lula
wavs/lula4_00000009.wav|oitenta por cento das negociações salariais das mais diversas categorias profissionais garantiram reajuste acima da inflação.|lula
wavs/lula4_00000010.wav|aprovamos no congresso a lei da igualdade salarial entre homens e mulheres.|lula
wavs/lula4_00000011.wav|trabalho igual, salário igual.|lula
wavs/lula4_00000013.wav|o salário mínimo voltou a crescer acima da inflação.|lula
wavs/lula4_00000014.wav|aumentamos o valor destinado à alimentação escolar após seis anos sem reajuste.|lula
wavs/lula4_00000015.wav|o arroz, o feijão, o óleo de cozinha, o botijão de gás, tudo ficou mais acessível.|lula
wavs/lula4_00000016.wav|milhões de famílias estão negociando suas dívidas em condições favoráveis e vão ficar novamente com o nome limpo na praça.|lula
wavs/lula4_00000018.wav|comércio e indústria vendendo mais e contratando mais e mais trabalhadores.|lula
wavs/lula4_00000019.wav|meus amigos e minhas amigas, a independência do brasil ainda não está terminada.|lula
wavs/lula4_00000020.wav|ela precisa ser construída a cada dia por todos nós, sob três grandes alicerces.|lula
wavs/lula4_00000021.wav|democracia, soberania e união.|lula
wavs/lula4_00000022.wav|democracia é a matéria-prima para a realização dos nossos sonhos.|lula
wavs/lula4_00000024.wav|é a democracia que vai dizer se teremos ou não as oportunidades para realizar nossos sonhos.|lula
wavs/lula4_00000025.wav|democracia é o direito de participar das discussões que impactam a vida das pessoas.|lula
wavs/lula4_00000027.wav|por isso, nós fizemos um plano plurianual, mais participativo da história, para traçar as principais metas do governo para os próximos quatro anos.|lula
wavs/lula4_00000028.wav|democracia não é apenas a matéria-prima dos nossos sonhos, é também a ferramenta para torná-los realidade.|lula
wavs/lula4_00000029.wav|meus amigos e minhas amigas, o segundo alicerce da independência é a soberania.|lula
wavs/lula4_00000030.wav|soberania é mais do que cumprir a importante missão de resguardar nossas fronteiras terrestres e marítimas e o nosso espaço aéreo.|lula
wavs/lula4_00000031.wav|é também defender as nossas empresas estratégicas, nossos bancos públicos, nossas riquezas minerais e fortalecer nossa agricultura e nossa indústria.|lula
wavs/lula4_00000032.wav|é preservar a amazônia e os demais biomas, nossos rios, nosso mar, nossa biodiversidade.|lula
wavs/lula4_00000033.wav|é falar de igual para igual com qualquer país e se fazer ouvir nos principais fóruns internacionais.|lula
wavs/lula4_00000034.wav|seja sobre o enfrentamento à crise climática, a busca pela paz na terra, o combate à fome e às desigualdades ao redor do mundo.|lula
wavs/lula4_00000035.wav|é a luta pelo trabalho decente para todos os seres humanos.|lula
wavs/lula4_00000036.wav|soberania é, antes de tudo, combater todas as formas de desigualdade, seja de renda, de gênero ou de raça.|lula
wavs/lula4_00000037.wav|é tornar igualitário o acesso à saúde, à educação, à segurança, aos bens culturais.|lula
wavs/lula4_00000038.wav|é criar oportunidade para todos e todas.|lula
wavs/lula4_00000039.wav|soberania é garantir a soberania do povo brasileiro.|lula
wavs/lula4_00000040.wav|um povo soberano é um povo sem fome, com emprego decente, com acesso à saúde, à educação e com esperança.|lula
wavs/lula4_00000041.wav|por isso, trouxemos de volta mais de quarenta programas que fizeram do brasil referência mundial em inclusão social.|lula
wavs/lula4_00000043.wav|por isso, aprovamos um novo marco fiscal, com a ajuda do congresso, para dar ao brasil a oportunidade de voltar a crescer com responsabilidade.|lula
wavs/lula4_00000044.wav|por isso, lançamos no mês passado o novo pac, o maior programa de investimento da nossa história.|lula
wavs/lula4_00000045.wav|com o novo pac, que vai gerar quatro milhões de novos postos de trabalho, o brasil volta a fazer as obras necessárias para a construção do seu futuro.|lula
wavs/lula4_00000046.wav|e o futuro será verde.|lula
wavs/lula4_00000047.wav|os investimentos do novo pac serão as alavancas que conciliarão o enfrentamento da crise climática à reindustrialização do país, à transição energética e à redução das desigualdades sociais e regionais.|lula
wavs/lula4_00000048.wav|vamos investir no minha casa minha vida, em mobilidade urbana, urbanização de favelas, saneamento básico, prevenção a desastres.|lula
wavs/lula4_00000049.wav|vamos investir em novas unidades básicas de saúde, maternidades, hospitais e centros de medicina especializada.|lula
wavs/lula4_00000050.wav|vamos também investir fortemente na preparação do brasil para enfrentar o risco de novas pandemias.|lula
wavs/lula4_00000051.wav|com o novo PAC, a educação voltará a ser prioridade, com o investimento da creche à pós-graduação, passando pela escola em tempo integral e a expansão da rede de institutos e universidades federais.|lula
wavs/lula4_00000052.wav|vamos alavancar a produção científica do país e dar as oportunidades de um futuro melhor para as nossas crianças.|lula
wavs/lula4_00000053.wav|o brasil será o lugar melhor para se viver.|lula
wavs/lula4_00000055.wav|e a união só se faz sem ordem.|lula
wavs/lula4_00000056.wav|o entendimento voltou a ser a palavra de ordem.|lula
wavs/lula4_00000057.wav|investimos no diálogo com o congresso nacional, os governos estaduais, as prefeituras, o poder judiciário, os partidos políticos, os sindicatos e a sociedade organizada.|lula
wavs/lula4_00000058.wav|por isso, amanhã não será um dia nem de ódio, nem de medo, e sim de união.|lula
wavs/lula4_00000059.wav|o dia de lembrarmos que o brasil é um só, que sonhamos os mesmos sonhos, que podemos ter sotaques diferentes, torcer para time diferente, seguir religiões diferentes, ter preferência por este ou por aquele candidato.|lula
wavs/lula4_00000060.wav|mas que somos uma mesma grande nação, um único extraordinário povo.|lula
wavs/lula4_00000061.wav|em apenas oito meses, recolocamos o brasil no rumo da democracia, da soberania e da união, do desenvolvimento econômico e da inclusão social.|lula
wavs/lula4_00000062.wav|vamos todos trabalhar juntos para, a cada dia, transformar em realidade nosso sonho de um brasil mais desenvolvido, mais justo, mais solidário e mais independente.|lula
wavs/lula4_00000063.wav|um feliz sete de setembro para todos.|lula
wavs/lula_00000000.wav|política internacional é sempre como se fosse uma via de duas mãos.|lula
wavs/lula_00000001.wav|o brasil tem uma belíssima relação com a china, o brasil faz parte do bric junto com a china, a china é o nosso principal parceiro comercial, a china é um parceiro hoje essencial para o brasil e para a américa latina.|lula
wavs/lula_00000002.wav|então nós queremos fortalecer essa relação e eu quero fazer uma forte política externa porque o brasil tem que voltar a ser protagonista internacional.|lula
wavs/lula_00000003.wav|eu vou convidar o Xi Jinping para vir ao brasil, para uma reunião bilateral, para conhecer o brasil, para mostrar os projetos que nós temos de interesse de investimento dos chineses.|lula
wavs/lula_00000004.wav|o que nós queremos é construir parceria com os chineses, o que nós queremos é fazer sociedade com os chineses para que ele possa fazer investimento em coisas que não existem, numa nova rodovia, numa nova ferrovia, numa nova hidrelétrica, sabe?|lula
wavs/lula_00000005.wav|numa coisa qualquer que signifique algo novo para o brasil.|lula
